ANO,MES,IGPM
1989,Julho,35.9
1989,Agosto,36.92
1989,Setembro,39.92
1989,Outubro,40.64
1989,Novembro,40.48
1989,Dezembro,47.13
1990,Janeiro,61.46
1990,Fevereiro,81.29
1990,Março,83.95
1990,Abril,28.35
1990,Maio,5.93
1990,Junho,9.94
1990,Julho,12.01
1990,Agosto,13.62
1990,Setembro,12.8
1990,Outubro,12.97
1990,Novembro,16.86
1990,Dezembro,18.0
1991,Janeiro,17.7
1991,Fevereiro,21.02
1991,Março,9.19
1991,Abril,7.81
1991,Maio,7.48
1991,Junho,8.48
1991,Julho,13.22
1991,Agosto,15.25
1991,Setembro,14.93
1991,Outubro,22.63
1991,Novembro,25.62
1991,Dezembro,23.63
1992,Janeiro,23.56
1992,Fevereiro,27.86
1992,Março,21.39
1992,Abril,19.94
1992,Maio,20.43
1992,Junho,23.61
1992,Julho,21.84
1992,Agosto,24.63
1992,Setembro,25.27
1992,Outubro,26.76
1992,Novembro,23.43
1992,Dezembro,25.08
1993,Janeiro,25.83
1993,Fevereiro,28.41
1993,Março,26.25
1993,Abril,28.83
1993,Maio,29.7
1993,Junho,31.5
1993,Julho,31.25
1993,Agosto,31.79
1993,Setembro,35.28
1993,Outubro,35.04
1993,Novembro,36.15
1993,Dezembro,38.32
1994,Janeiro,39.07
1994,Fevereiro,40.78
1994,Março,45.71
1994,Abril,40.91
1994,Maio,42.58
1994,Junho,45.21
1994,Julho,4.33
1994,Agosto,3.94
1994,Setembro,1.75
1994,Outubro,1.82
1994,Novembro,2.85
1994,Dezembro,0.84
1995,Janeiro,0.92
1995,Fevereiro,1.39
1995,Março,1.12
1995,Abril,2.1
1995,Maio,0.58
1995,Junho,2.46
1995,Julho,1.82
1995,Agosto,2.2
1995,Setembro,-0.71
1995,Outubro,0.52
1995,Novembro,1.2
1995,Dezembro,0.71
1996,Janeiro,1.73
1996,Fevereiro,0.97
1996,Março,0.4
1996,Abril,0.32
1996,Maio,1.55
1996,Junho,1.02
1996,Julho,1.35
1996,Agosto,0.28
1996,Setembro,0.1
1996,Outubro,0.19
1996,Novembro,0.2
1996,Dezembro,0.73
1997,Janeiro,1.77
1997,Fevereiro,0.43
1997,Março,1.15
1997,Abril,0.68
1997,Maio,0.21
1997,Junho,0.74
1997,Julho,0.09
1997,Agosto,0.09
1997,Setembro,0.48
1997,Outubro,0.37
1997,Novembro,0.64
1997,Dezembro,0.84
1998,Janeiro,0.96
1998,Fevereiro,0.18
1998,Março,0.19
1998,Abril,0.13
1998,Maio,0.14
1998,Junho,0.38
1998,Julho,-0.17
1998,Agosto,-0.16
1998,Setembro,-0.08
1998,Outubro,0.08
