ANO,MES,INPC
1979,Maio,1.76
1979,Junho,3.0
1979,Julho,5.36
1979,Agosto,5.79
1979,Setembro,6.61
1979,Outubro,5.06
1979,Novembro,6.1
1979,Dezembro,4.51
1980,Janeiro,6.56
1980,Fevereiro,4.15
1980,Março,5.12
1980,Abril,4.85
1980,Maio,5.53
1980,Junho,5.52
1980,Julho,5.51
1980,Agosto,5.15
1980,Setembro,4.45
1980,Outubro,9.65
1980,Novembro,8.03
1980,Dezembro,6.8
1981,Janeiro,6.21
1981,Fevereiro,6.05
1981,Março,5.35
1981,Abril,6.54
1981,Maio,5.51
1981,Junho,5.07
1981,Julho,6.2
1981,Agosto,6.12
1981,Setembro,5.28
1981,Outubro,4.62
1981,Novembro,5.23
1981,Dezembro,5.69
1982,Janeiro,6.71
1982,Fevereiro,6.58
1982,Março,5.24
1982,Abril,5.65
1982,Maio,6.66
1982,Junho,7.14
1982,Julho,6.39
1982,Agosto,5.57
1982,Setembro,4.3
1982,Outubro,3.91
1982,Novembro,5.26
1982,Dezembro,8.19
1983,Janeiro,9.14
1983,Fevereiro,8.04
1983,Março,7.22
1983,Abril,6.57
1983,Maio,6.71
1983,Junho,10.83
1983,Julho,11.43
1983,Agosto,9.85
1983,Setembro,11.27
1983,Outubro,10.1
1983,Novembro,7.37
1983,Dezembro,8.34
1984,Janeiro,9.39
1984,Fevereiro,9.74
1984,Março,9.83
1984,Abril,9.52
1984,Maio,8.71
1984,Junho,9.96
1984,Julho,9.11
1984,Agosto,8.57
1984,Setembro,11.1
1984,Outubro,10.49
1984,Novembro,10.33
1984,Dezembro,11.62
1985,Janeiro,11.84
1985,Fevereiro,10.95
1985,Março,9.94
1985,Abril,8.58
1985,Maio,7.2
1985,Junho,8.33
1985,Julho,10.08
1985,Agosto,11.61
1985,Setembro,10.09
1985,Outubro,10.25
1985,Novembro,14.18
1985,Dezembro,15.75
1986,Janeiro,15.01
1986,Fevereiro,12.46
1986,Março,3.18
1986,Abril,0.43
1986,Maio,1.08
1986,Junho,0.97
1986,Julho,0.91
1986,Agosto,1.43
1986,Setembro,1.19
1986,Outubro,1.43
1986,Novembro,3.29
1986,Dezembro,7.27
1987,Janeiro,16.82
1987,Fevereiro,13.94
1987,Março,14.4
1987,Abril,20.96
1987,Maio,23.14
1987,Junho,21.3
1987,Julho,9.93
1987,Agosto,5.09
1987,Setembro,7.15
1987,Outubro,10.88
1987,Novembro,14.93
1987,Dezembro,13.97
1988,Janeiro,18.97
1988,Fevereiro,15.81
1988,Março,18.09
1988,Abril,18.33
1988,Maio,18.24
1988,Junho,22.28
1988,Julho,23.02
1988,Agosto,20.63
1988,Setembro,26.93
1988,Outubro,26.69
1988,Novembro,28.15
1988,Dezembro,28.43
1989,Janeiro,35.48
1989,Fevereiro,16.35
1989,Março,5.9
1989,Abril,8.06
1989,Maio,16.67
1989,Junho,29.4
1989,Julho,27.4
1989,Agosto,33.18
1989,Setembro,36.35
1989,Outubro,38.76
1989,Novembro,48.47
1989,Dezembro,51.28
1990,Janeiro,68.19
1990,Fevereiro,73.99
1990,Março,82.18
1990,Abril,14.67
1990,Maio,7.31
1990,Junho,11.64
1990,Julho,12.62
1990,Agosto,12.18
1990,Setembro,14.26
1990,Outubro,14.43
1990,Novembro,16.92
1990,Dezembro,19.14
1991,Janeiro,20.95
1991,Fevereiro,20.2
1991,Março,11.79
1991,Abril,5.01
1991,Maio,6.68
1991,Junho,10.83
1991,Julho,12.14
1991,Agosto,15.62
1991,Setembro,15.62
1991,Outubro,21.08
1991,Novembro,26.48
1991,Dezembro,24.15
1992,Janeiro,25.92
1992,Fevereiro,24.48
1992,Março,21.62
1992,Abril,20.84
1992,Maio,24.5
1992,Junho,20.85
1992,Julho,22.08
1992,Agosto,22.38
1992,Setembro,23.98
1992,Outubro,26.07
1992,Novembro,22.89
1992,Dezembro,25.58
1993,Janeiro,28.77
1993,Fevereiro,24.79
1993,Março,27.58
1993,Abril,28.37
1993,Maio,26.78
1993,Junho,30.37
1993,Julho,31.01
1993,Agosto,33.34
1993,Setembro,35.63
1993,Outubro,34.12
1993,Novembro,36.0
1993,Dezembro,37.73
1994,Janeiro,41.32
1994,Fevereiro,40.57
1994,Março,43.08
1994,Abril,42.86
1994,Maio,42.73
1994,Junho,48.24
1994,Julho,7.75
1994,Agosto,1.85
1994,Setembro,1.4
1994,Outubro,2.82
1994,Novembro,2.96
1994,Dezembro,1.7
1995,Janeiro,1.44
1995,Fevereiro,1.01
1995,Março,1.62
1995,Abril,2.49
1995,Maio,2.1
1995,Junho,2.18
1995,Julho,2.46
1995,Agosto,1.02
1995,Setembro,1.17
1995,Outubro,1.4
1995,Novembro,1.51
1995,Dezembro,1.65
1996,Janeiro,1.46
1996,Fevereiro,0.71
1996,Março,0.29
1996,Abril,0.93
1996,Maio,1.28
1996,Junho,1.33
1996,Julho,1.2
1996,Agosto,0.5
1996,Setembro,0.02
1996,Outubro,0.38
1996,Novembro,0.34
1996,Dezembro,0.33
1997,Janeiro,0.81
1997,Fevereiro,0.45
1997,Março,0.68
1997,Abril,0.6
1997,Maio,0.11
1997,Junho,0.35
1997,Julho,0.18
1997,Agosto,-0.03
1997,Setembro,0.1
1997,Outubro,0.29
1997,Novembro,0.15
1997,Dezembro,0.57
1998,Janeiro,0.85
1998,Fevereiro,0.54
1998,Março,0.49
1998,Abril,0.45
1998,Maio,0.72
1998,Junho,0.15
1998,Julho,-0.28
1998,Agosto,-0.49
1998,Setembro,-0.31
1998,Outubro,0.11
1998,Novembro,-0.18
1998,Dezembro,0.42
1999,Janeiro,0.65
1999,Fevereiro,1.29
1999,Março,1.28
1999,Abril,0.47
1999,Maio,0.05
1999,Junho,0.07
1999,Julho,0.74
1999,Agosto,0.55
1999,Setembro,0.39
1999,Outubro,0.96
1999,Novembro,0.94
1999,Dezembro,0.74
2000,Janeiro,0.61
2000,Fevereiro,0.05
2000,Março,0.13
2000,Abril,0.09
2000,Maio,-0.05
2000,Junho,0.3
2000,Julho,1.39
2000,Agosto,1.21
2000,Setembro,0.43
2000,Outubro,0.16
2000,Novembro,0.29
2000,Dezembro,0.55
2001,Janeiro,0.77
2001,Fevereiro,0.49
2001,Março,0.48
2001,Abril,0.84
2001,Maio,0.57
2001,Junho,0.6
