ANO,MES,IPCAE
1980,Fevereiro,4.62
1980,Março,6.04
1980,Abril,5.29
1980,Maio,5.7
1980,Junho,5.31
1980,Julho,5.55
1980,Agosto,4.95
1980,Setembro,4.23
1980,Outubro,9.48
1980,Novembro,6.67
1980,Dezembro,6.61
1981,Janeiro,6.84
1981,Fevereiro,6.4
1981,Março,4.97
1981,Abril,6.46
1981,Maio,5.56
1981,Junho,5.52
1981,Julho,6.26
1981,Agosto,5.5
1981,Setembro,5.26
1981,Outubro,5.08
1981,Novembro,5.27
1981,Dezembro,5.93
1982,Janeiro,6.97
1982,Fevereiro,6.64
1982,Março,5.71
1982,Abril,5.89
1982,Maio,6.66
1982,Junho,7.1
1982,Julho,6.36
1982,Agosto,5.97
1982,Setembro,5.08
1982,Outubro,4.44
1982,Novembro,5.29
1982,Dezembro,7.81
1983,Janeiro,8.64
1983,Fevereiro,7.86
1983,Março,7.34
1983,Abril,6.58
1983,Maio,6.48
1983,Junho,9.88
1983,Julho,10.08
1983,Agosto,9.11
1983,Setembro,10.3
1983,Outubro,8.87
1983,Novembro,7.38
1983,Dezembro,8.68
1984,Janeiro,9.67
1984,Fevereiro,9.5
1984,Março,8.94
1984,Abril,9.54
1984,Maio,9.05
1984,Junho,10.08
1984,Julho,9.72
1984,Agosto,9.35
1984,Setembro,11.75
1984,Outubro,10.44
1984,Novembro,10.53
1984,Dezembro,11.98
1985,Janeiro,11.76
1985,Fevereiro,10.87
1985,Março,10.16
1985,Abril,8.2
1985,Maio,7.2
1985,Junho,8.49
1985,Julho,10.31
1985,Agosto,12.05
1985,Setembro,11.12
1985,Outubro,10.62
1985,Novembro,13.97
1985,Dezembro,15.07
1986,Janeiro,14.37
1986,Fevereiro,12.72
1986,Março,4.77
1986,Abril,0.78
1986,Maio,1.4
1986,Junho,1.27
1986,Julho,1.71
1986,Agosto,3.55
1986,Setembro,1.72
1986,Outubro,1.9
1986,Novembro,5.45
1986,Dezembro,11.65
1987,Janeiro,13.21
1987,Fevereiro,12.64
1987,Março,16.37
1987,Abril,19.1
1987,Maio,21.45
1987,Junho,19.71
1987,Julho,9.21
1987,Agosto,4.87
1987,Setembro,7.78
1987,Outubro,11.22
1987,Novembro,15.08
1987,Dezembro,14.15
1988,Janeiro,18.89
1988,Fevereiro,15.7
1988,Março,17.6
1988,Abril,19.29
1988,Maio,17.42
1988,Junho,22.0
1988,Julho,21.91
1988,Agosto,21.59
1988,Setembro,27.45
1988,Outubro,25.62
1988,Novembro,27.94
1988,Dezembro,28.7
1989,Janeiro,37.49
1989,Fevereiro,16.78
1989,Março,6.82
1989,Abril,8.33
1989,Maio,17.92
1989,Junho,28.65
1989,Julho,27.74
1989,Agosto,33.71
1989,Setembro,37.56
1989,Outubro,39.77
1989,Novembro,47.82
1989,Dezembro,51.5
1990,Janeiro,67.55
1990,Fevereiro,75.73
1990,Março,82.39
1990,Abril,15.52
1990,Maio,7.59
1990,Junho,11.75
1990,Julho,12.92
