ANO,MES,POUPANCA
1986,Agosto,2.57
1986,Setembro,2.94
1986,Outubro,1.96
1986,Novembro,2.37
1986,Dezembro,5.47
1987,Janeiro,11.0
1987,Fevereiro,19.61
1987,Março,11.95
1987,Abril,15.3
1987,Maio,24.63
1987,Junho,18.02
1987,Julho,8.91
1987,Agosto,8.09
1987,Setembro,7.99
1987,Outubro,9.45
1987,Novembro,12.92
1987,Dezembro,14.38
1988,Janeiro,16.78
1988,Fevereiro,18.35
1988,Março,16.59
1988,Abril,20.25
1988,Maio,18.65
1988,Junho,20.17
1988,Julho,24.69
1988,Agosto,22.63
1988,Setembro,26.25
1988,Outubro,29.79
1988,Novembro,28.41
1988,Dezembro,30.24
1989,Janeiro,22.97
1989,Fevereiro,18.95
1989,Março,20.41
1989,Abril,11.52
1989,Maio,11.43
1989,Junho,27.29
1989,Julho,33.15
1989,Agosto,35.49
1989,Setembro,38.58
1989,Outubro,47.7
1989,Novembro,48.41
1989,Dezembro,64.21
1990,Janeiro,67.6
1990,Fevereiro,82.04
1990,Março,36.76
1990,Abril,4.23
1990,Maio,5.69
1990,Junho,8.73
1990,Julho,13.79
1990,Agosto,11.53
1990,Setembro,15.21
1990,Outubro,16.49
1990,Novembro,19.83
1990,Dezembro,22.86
1991,Janeiro,21.02
1991,Fevereiro,6.85
1991,Março,8.99
1991,Abril,9.67
1991,Maio,9.56
1991,Junho,10.32
1991,Julho,12.39
1991,Agosto,15.75
1991,Setembro,19.78
1991,Outubro,25.95
1991,Novembro,32.43
1991,Dezembro,31.17
1992,Janeiro,29.06
1992,Fevereiro,28.76
1992,Março,26.86
1992,Abril,23.92
1992,Maio,23.0
1992,Junho,24.28
1992,Julho,26.21
1992,Agosto,25.65
1992,Setembro,27.66
1992,Outubro,28.18
1992,Novembro,26.4
1992,Dezembro,25.92
1993,Janeiro,28.52
1993,Fevereiro,28.9
1993,Março,28.36
1993,Abril,30.53
1993,Maio,30.9
1993,Junho,31.91
1993,Julho,32.73
1993,Agosto,34.64
1993,Setembro,37.23
1993,Outubro,38.4
1993,Novembro,38.38
1993,Dezembro,40.38
1994,Janeiro,42.76
1994,Fevereiro,41.99
1994,Março,46.42
1994,Abril,46.49
1994,Maio,47.95
1994,Junho,50.62
1994,Julho,6.87
1994,Agosto,4.17
1994,Setembro,3.83
1994,Outubro,3.62
1994,Novembro,4.07
1994,Dezembro,3.8
1995,Janeiro,3.37
1995,Fevereiro,3.25
1995,Março,4.26
1995,Abril,4.26
1995,Maio,4.25
1995,Junho,4.04
1995,Julho,4.02
1995,Agosto,3.84
1995,Setembro,3.32
1995,Outubro,3.09
1995,Novembro,2.88
1995,Dezembro,2.78
1996,Janeiro,2.58
1996,Fevereiro,2.35
1996,Março,2.22
1996,Abril,2.07
1996,Maio,2.01
1996,Junho,1.98
1996,Julho,1.93
1996,Agosto,1.97
1996,Setembro,1.9
1996,Outubro,1.86
1996,Novembro,1.8
1996,Dezembro,1.8
1997,Janeiro,1.73
1997,Fevereiro,1.67
1997,Março,1.64
1997,Abril,1.66
1997,Maio,1.58
1997,Junho,1.61
1997,Julho,1.6
1997,Agosto,1.59
1997,Setembro,1.59
1997,Outubro,1.67
1997,Novembro,3.04
1997,Dezembro,2.97
1998,Janeiro,2.67
1998,Fevereiro,2.13
1998,Março,2.2
1998,Abril,1.71
1998,Maio,1.63
1998,Junho,1.6
1998,Julho,1.7
1998,Agosto,1.48
1998,Setembro,2.49
1998,Outubro,2.94
1998,Novembro,2.63
1998,Dezembro,2.4
1999,Janeiro,2.18
1999,Fevereiro,2.38
1999,Março,3.33
1999,Abril,2.35
1999,Maio,2.02
1999,Junho,1.67
1999,Julho,1.66
1999,Agosto,1.57
1999,Setembro,1.49
1999,Outubro,1.38
1999,Novembro,1.39
1999,Dezembro,1.6
2000,Janeiro,1.46
2000,Fevereiro,1.45
2000,Março,1.45
2000,Abril,1.3
2000,Maio,1.49
2000,Junho,1.39
2000,Julho,1.31
2000,Agosto,1.41
2000,Setembro,1.22
2000,Outubro,1.29
2000,Novembro,1.22
2000,Dezembro,1.2
2001,Janeiro,1.27
2001,Fevereiro,1.02
2001,Março,1.26
2001,Abril,1.19
2001,Maio,1.34
2001,Junho,1.27
2001,Julho,1.5
2001,Agosto,1.6
2001,Setembro,1.32
2001,Outubro,1.53
2001,Novembro,1.39
2001,Dezembro,1.39
2002,Janeiro,1.53
2002,Fevereiro,1.25
2002,Março,1.37
2002,Abril,1.48
2002,Maio,1.41
2002,Junho,1.33
2002,Julho,1.54
2002,Agosto,1.44
2002,Setembro,1.38
2002,Outubro,1.65
2002,Novembro,1.54
2002,Dezembro,1.74
2003,Janeiro,1.97
2003,Fevereiro,1.83
2003,Março,1.78
2003,Abril,1.87
2003,Maio,1.97
2003,Junho,1.86
2003,Julho,2.08
2003,Agosto,1.77
2003,Setembro,1.68
2003,Outubro,1.64
2003,Novembro,1.34
2003,Dezembro,1.37
2004,Janeiro,1.27
2004,Fevereiro,1.08
2004,Março,1.38
2004,Abril,1.18
2004,Maio,1.23
2004,Junho,1.23
2004,Julho,1.29
2004,Agosto,1.29
2004,Setembro,1.25
2004,Outubro,1.21
2004,Novembro,1.25
2004,Dezembro,1.48
2005,Janeiro,1.38
2005,Fevereiro,1.22
2005,Março,1.53
2005,Abril,1.41
2005,Maio,1.5
2005,Junho,1.59
2005,Julho,1.51
2005,Agosto,1.66
2005,Setembro,1.5
2005,Outubro,1.41
2005,Novembro,1.38
