ANO,MES,INDICE
1964,Outubro,0.0031321
1964,Novembro,0.0031321
1964,Dezembro,0.0031321
1965,Janeiro,0.0027718
1965,Fevereiro,0.0027718
1965,Março,0.0027718
1965,Abril,0.0023375
1965,Maio,0.0023375
1965,Junho,0.0023375
1965,Julho,0.0020606
1965,Agosto,0.0020606
1965,Setembro,0.0019948
1965,Outubro,0.0019702
1965,Novembro,0.0019522
1965,Dezembro,0.0019214
1966,Janeiro,0.0018862
1966,Fevereiro,0.0018371
1966,Março,0.0018112
1966,Abril,0.00178
1966,Maio,0.0017133
1966,Junho,0.0016407
1966,Julho,0.0015761
1966,Agosto,0.0015331
1966,Setembro,0.0014904
1966,Outubro,0.0014497
1966,Novembro,0.0014117
1966,Dezembro,0.001381
1967,Janeiro,0.0013481
1967,Fevereiro,1.3172591
1967,Março,1.2901331
1967,Abril,1.2712831
1967,Maio,1.2524763
1967,Junho,1.230338
1967,Julho,1.1965019
1967,Agosto,1.1670794
1967,Setembro,1.1495199
1967,Outubro,1.1440621
1967,Novembro,1.1361777
1967,Dezembro,1.1203294
1968,Janeiro,1.0998748
1968,Fevereiro,1.0808976
1968,Março,1.0654569
1968,Abril,1.0500979
1968,Maio,1.0307474
1968,Junho,1.0039876
1968,Julho,0.9761425
1968,Agosto,0.9547212
1968,Setembro,0.9375762
1968,Outubro,0.9245701
1968,Novembro,0.9108583
1968,Dezembro,0.896264
1969,Janeiro,0.8794055
1969,Fevereiro,0.8636459
1969,Março,0.8486701
1969,Abril,0.8368796
1969,Maio,0.8241102
1969,Junho,0.8140448
1969,Julho,0.8031896
1969,Agosto,0.7976677
1969,Setembro,0.7918207
1969,Outubro,0.7846798
1969,Novembro,0.7721076
1969,Dezembro,0.7562637
1970,Janeiro,0.7396559
1970,Fevereiro,0.7234283
1970,Março,0.7091786
1970,Abril,0.7012407
1970,Maio,0.6948635
1970,Junho,0.688449
1970,Julho,0.6780184
1970,Agosto,0.6720543
1970,Setembro,0.6657692
1970,Outubro,0.657938
1970,Novembro,0.6457313
1970,Dezembro,0.632305
1971,Janeiro,0.6201628
1971,Fevereiro,0.608951
1971,Março,0.6010064
1971,Abril,0.595069
1971,Maio,0.5882524
1971,Junho,0.5799751
1971,Julho,0.5687075
1971,Agosto,0.557572
1971,Setembro,0.5461026
1971,Outubro,0.5344555
1971,Novembro,0.5239076
1971,Dezembro,0.5154589
1972,Janeiro,0.5091748
1972,Fevereiro,0.5031229
1972,Março,0.4965034
1972,Abril,0.4909022
1972,Maio,0.4844483
1972,Junho,0.4764174
1972,Julho,0.4680173
1972,Agosto,0.4613998
1972,Setembro,0.4575587
1972,Outubro,0.4543066
1972,Novembro,0.449999
1972,Dezembro,0.4470444
1973,Janeiro,0.4419986
1973,Fevereiro,0.4376753
1973,Março,0.4331363
1973,Abril,0.4279876
1973,Maio,0.4231315
1973,Junho,0.4178251
1973,Julho,0.4132506
1973,Agosto,0.4095765
1973,Setembro,0.4061776
1973,Outubro,0.402266
1973,Novembro,0.3995464
1973,Dezembro,0.396161
1974,Janeiro,0.388544
1974,Fevereiro,0.3844907
1974,Março,0.3788178
1974,Abril,0.3741118
1974,Maio,0.3680896
1974,Junho,0.3604239
1974,Julho,0.3488245
1974,Agosto,0.3341272
1974,Setembro,0.3189204
1974,Outubro,0.3074029
1974,Novembro,0.3009068
1974,Dezembro,0.2971672
1975,Janeiro,0.2934094
1975,Fevereiro,0.2890243
1975,Março,0.2843025
1975,Abril,0.2790598
1975,Maio,0.2735989
1975,Junho,0.2674329
1975,Julho,0.2626352
1975,Agosto,0.2582177
1975,Setembro,0.2542567
1975,Outubro,0.2491999
1975,Novembro,0.2439022
1975,Dezembro,0.2392454
1976,Janeiro,0.2349219
1976,Fevereiro,0.2304962
1976,Março,0.225453
1976,Abril,0.2202229
1976,Maio,0.2148011
1976,Junho,0.2085929
1976,Julho,0.2026156
1976,Agosto,0.1975678
1976,Setembro,0.19221
1976,Outubro,0.1860897
1976,Novembro,0.1796127
1976,Dezembro,0.1743339
1977,Janeiro,0.1705655
1977,Fevereiro,0.1676632
1977,Março,0.1644235
1977,Abril,0.1607782
1977,Maio,0.1562712
1977,Junho,0.1513993
1977,Julho,0.1465125
1977,Agosto,0.1427021
1977,Setembro,0.1398351
1977,Outubro,0.1379018
1977,Novembro,0.1360158
1977,Dezembro,0.1340139
1978,Janeiro,0.1314383
1978,Fevereiro,0.128722
1978,Março,0.1258059
1978,Abril,0.1226447
1978,Maio,0.1191633
1978,Junho,0.1156399
1978,Julho,0.1122577
1978,Agosto,0.1089241
1978,Setembro,0.1059797
1978,Outubro,0.1032824
1978,Novembro,0.1008872
1978,Dezembro,0.0983682
1979,Janeiro,0.0958463
1979,Fevereiro,0.0937298
1979,Março,0.0915997
1979,Abril,0.0893679
1979,Maio,0.0861415
1979,Junho,0.0829697
1979,Julho,0.0802981
1979,Agosto,0.0781725
1979,Setembro,0.075986
1979,Outubro,0.0730512
1979,Novembro,0.0698474
1979,Dezembro,0.0668316
1980,Janeiro,0.0642127
1980,Fevereiro,0.061623
1980,Março,0.0594241
1980,Abril,0.0573041
1980,Maio,0.0552603
1980,Junho,0.053443
1980,Julho,0.0517856
1980,Agosto,0.0501803
1980,Setembro,0.048623
1980,Outubro,0.0472074
1980,Novembro,0.0457432
1980,Dezembro,0.0443249
1981,Janeiro,0.0424168
1981,Fevereiro,0.0403962
1981,Março,0.037931
1981,Abril,0.035683
1981,Maio,0.0336631
1981,Junho,0.0317576
1981,Julho,0.0299596
1981,Agosto,0.0282641
1981,Setembro,0.0267148
1981,Outubro,0.0252737
1981,Novembro,0.0239116
1981,Dezembro,0.0226649
1982,Janeiro,0.0215442
1982,Fevereiro,0.0205181
1982,Março,0.0195413
1982,Abril,0.0186105
1982,Maio,0.0176402
1982,Junho,0.0167204
1982,Julho,0.0158499
1982,Agosto,0.0149524
1982,Setembro,0.013974
1982,Outubro,0.01306
1982,Novembro,0.0122055
1982,Dezembro,0.0114605
1983,Janeiro,0.0107607
1983,Fevereiro,0.0101519
1983,Março,0.0095144
1983,Abril,0.0087291
1983,Maio,0.0080079
1983,Junho,0.0074149
1983,Julho,0.0068777
1983,Agosto,0.0063102
1983,Setembro,0.0058151
1983,Outubro,0.0053116
1983,Novembro,0.0048414
1983,Dezembro,0.0044665
1984,Janeiro,0.0041507
1984,Fevereiro,0.0037806
1984,Março,0.0033672
1984,Abril,0.003061
1984,Maio,0.0028097
1984,Junho,0.0025809
1984,Julho,0.0023633
1984,Agosto,0.0021429
1984,Setembro,0.0019368
1984,Outubro,0.0017532
1984,Novembro,0.0015562
1984,Dezembro,0.0014167
1985,Janeiro,0.001282
1985,Fevereiro,0.0011389
1985,Março,0.0010336
1985,Abril,0.0009168
1985,Maio,0.0008205
1985,Junho,0.0007454
1985,Julho,0.0006826
1985,Agosto,0.0006343
1985,Setembro,0.0005858
1985,Outubro,0.0005372
1985,Novembro,0.0004929
1985,Dezembro,0.000443
1986,Janeiro,0.0003916
1986,Fevereiro,0.0003364
1986,Março,0.2944031
1986,Abril,0.2947355
1986,Maio,0.2924513
1986,Junho,0.2884126
1986,Julho,0.2847944
1986,Agosto,0.281417
1986,Setembro,0.2767919
1986,Outubro,0.2721265
1986,Novembro,0.2670235
1986,Dezembro,0.2585382
1987,Janeiro,0.2410129
1987,Fevereiro,0.2063132
1987,Março,0.1724826
1987,Abril,0.1506203
1987,Maio,0.1245208
1987,Junho,0.1008743
1987,Julho,0.0854711
1987,Agosto,0.082941
1987,Setembro,0.0779819
1987,Outubro,0.0737882
1987,Novembro,0.067586
1987,Dezembro,0.0598955
1988,Janeiro,0.0524749
1988,Fevereiro,0.0450383
1988,Março,0.0381812
1988,Abril,0.0329121
1988,Maio,0.0275912
1988,Junho,0.0234271
1988,Julho,0.0195993
1988,Agosto,0.0158003
1988,Setembro,0.0130954
1988,Outubro,0.0105595
1988,Novembro,0.0082991
1988,Dezembro,0.0065386
1989,Janeiro,5.0767475
1989,Fevereiro,5.0767475
1989,Março,4.9003359
1989,Abril,4.6190049
1989,Maio,4.3045174
1989,Junho,3.9154316
1989,Julho,3.1365056
1989,Agosto,2.4358256
1989,Setembro,1.8833459
1989,Outubro,1.3853104
1989,Novembro,1.0066126
1989,Dezembro,0.7117862
1990,Janeiro,0.4635537
1990,Fevereiro,0.2969418
1990,Março,0.1718606
1990,Abril,0.1216454
1990,Maio,0.1216454
1990,Junho,0.1154355
1990,Julho,0.1053139
1990,Agosto,0.0950577
1990,Setembro,0.0859627
1990,Outubro,0.0761742
1990,Novembro,0.0669897
1990,Dezembro,0.0574333
1991,Janeiro,0.0481061
1991,Fevereiro,0.040018
1991,Março,0.0374
1991,Abril,0.0344703
1991,Maio,0.0316441
1991,Junho,0.0290339
1991,Julho,0.0265397
1991,Agosto,0.0241156
1991,Setembro,0.0215419
1991,Outubro,0.0184459
1991,Novembro,0.0154019
1991,Dezembro,0.0118001
1992,Janeiro,0.0091888
1992,Fevereiro,0.0073228
1992,Março,0.0058298
1992,Abril,0.0046909
1992,Maio,0.0038749
1992,Junho,0.0032342
1992,Julho,0.0026719
1992,Agosto,0.0021602
1992,Setembro,0.0017529
1992,Outubro,0.0013982
1992,Novembro,0.0011178
1992,Dezembro,0.0009067
1993,Janeiro,0.0007313
1993,Fevereiro,0.0005768
1993,Março,0.0004558
1993,Abril,0.0003634
1993,Maio,0.0002825
1993,Junho,0.00022
1993,Julho,0.000169
1993,Agosto,0.1296829
1993,Setembro,0.0972565
1993,Outubro,0.0722456
1993,Novembro,0.0529153
1993,Dezembro,0.038863
1994,Janeiro,0.0284085
1994,Fevereiro,0.0200851
1994,Março,0.0143604
1994,Abril,0.0101237
1994,Maio,0.0069351
1994,Junho,0.0047362
1994,Julho,8.8677499
1994,Agosto,8.3594933
1994,Setembro,7.9266952
1994,Outubro,7.8087822
1994,Novembro,7.6661913
1994,Dezembro,7.4234444
1995,Janeiro,7.2643552
1995,Fevereiro,7.1450335
1995,Março,7.0749909
1995,Abril,6.9766209
1995,Maio,6.8451927
1995,Junho,6.6736788
1995,Julho,6.5543893
1995,Agosto,6.3970216
1995,Setembro,6.3324314
1995,Outubro,6.2591985
1995,Novembro,6.1727807
1995,Dezembro,6.0809576
1996,Janeiro,5.98225
1996,Fevereiro,5.8961665
1996,Março,5.8545985
1996,Abril,5.8376694
1996,Maio,5.7838799
1996,Junho,5.7107815
1996,Julho,5.6358251
1996,Agosto,5.5689974
1996,Setembro,5.5412909
1996,Outubro,5.5401822
1996,Novembro,5.5192099
1996,Dezembro,5.5005077
1997,Janeiro,5.4824155
1997,Fevereiro,5.4383647
1997,Março,5.4140023
1997,Abril,5.3774355
1997,Maio,5.3453629
1997,Junho,5.3394895
1997,Julho,5.3208673
1997,Agosto,5.3113061
1997,Setembro,5.3129011
1997,Outubro,5.3075924
1997,Novembro,5.2922451
1997,Dezembro,5.284319
1998,Janeiro,5.2543686
1998,Fevereiro,5.2100837
1998,Março,5.1820997
1998,Abril,5.1568315
1998,Maio,5.1337295
1998,Junho,5.0970311
1998,Julho,5.0893969
1998,Agosto,5.1036868
1998,Setembro,5.1288184
1998,Outubro,5.144767
1998,Novembro,5.1391135
1998,Dezembro,5.1483804
1999,Janeiro,5.1268485
1999,Fevereiro,5.0937388
1999,Março,5.0288663
1999,Abril,4.9653098
1999,Maio,4.9420823
1999,Junho,4.9396125
1999,Julho,4.9361577
1999,Agosto,4.8998979
1999,Setembro,4.8730958
1999,Outubro,4.8541645
1999,Novembro,4.8080081
1999,Dezembro,4.7632334
2000,Janeiro,4.7282441
2000,Fevereiro,4.699577
2000,Março,4.6972286
2000,Abril,4.69113
2000,Maio,4.6869123
2000,Junho,4.6892562
2000,Julho,4.6752304
2000,Agosto,4.6111361
2000,Setembro,4.5560089
2000,Outubro,4.5365013
2000,Novembro,4.5292551
2000,Dezembro,4.5161574
2001,Janeiro,4.4914539
2001,Fevereiro,4.457135
2001,Março,4.4354007
2001,Abril,4.4142128
2001,Maio,4.3774422
2001,Junho,4.3526322
2001,Julho,4.3266723
2001,Agosto,4.2791731
2001,Setembro,4.245633
2001,Outubro,4.2270335
2001,Novembro,4.18767
2001,Dezembro,4.1343369
2002,Janeiro,4.1039674
2002,Fevereiro,4.0605201
2002,Março,4.0479714
2002,Abril,4.0230278
2002,Maio,3.9958568
2002,Junho,3.9922631
2002,Julho,3.9680585
2002,Agosto,3.9229451
2002,Setembro,3.8894951
2002,Outubro,3.8574782
2002,Novembro,3.7978522
2002,Dezembro,3.6733261
2003,Janeiro,3.5767544
2003,Fevereiro,3.4905374
2003,Março,3.4403093
2003,Abril,3.3938138
2003,Maio,3.347616
2003,Junho,3.3147997
2003,Julho,3.3167899
2003,Agosto,3.3154637
2003,Setembro,3.3095061
2003,Outubro,3.2825897
2003,Novembro,3.2698368
2003,Dezembro,3.2577828
2004,Janeiro,3.2402858
2004,Fevereiro,3.2136126
2004,Março,3.2011286
2004,Abril,3.182985
2004,Maio,3.1699881
2004,Junho,3.1573588
2004,Julho,3.141651
2004,Agosto,3.1188828
2004,Setembro,3.1033665
2004,Outubro,3.0981003
2004,Novembro,3.0928414
2004,Dezembro,3.0792927
2005,Janeiro,3.053037
2005,Fevereiro,3.0357327
2005,Março,3.0224338
2005,Abril,3.0005304
2005,Maio,2.9734717
2005,Junho,2.9528024
2005,Julho,2.9560532
2005,Agosto,2.9551673
2005,Setembro,2.9551673
2005,Outubro,2.9507411
2005,Novembro,2.9337252
2005,Dezembro,2.9179687
2006,Janeiro,2.9063427
2006,Fevereiro,2.8953414
2006,Março,2.8886965
2006,Abril,2.8809186
2006,Maio,2.8774657
2006,Junho,2.8737295
2006,Julho,2.8757427
2006,Agosto,2.8725829
2006,Setembro,2.8731574
2006,Outubro,2.8685677
2006,Novembro,2.856286
2006,Dezembro,2.8443396
2007,Janeiro,2.8268131
2007,Fevereiro,2.8130294
2007,Março,2.8012645
2007,Abril,2.7889927
2007,Maio,2.7817595
2007,Junho,2.7745469
2007,Julho,2.7659719
2007,Agosto,2.7571489
2007,Setembro,2.7409761
2007,Outubro,2.7341421
2007,Novembro,2.7259635
2007,Dezembro,2.7142923
2008,Janeiro,2.6882169
2008,Fevereiro,2.6697947
2008,Março,2.6570415
2008,Abril,2.643559
2008,Maio,2.6267477
2008,Junho,2.6017706
2008,Julho,2.5783081
2008,Agosto,2.5634403
2008,Setembro,2.5580689
2008,Outubro,2.5542367
2008,Novembro,2.5415295
2008,Dezembro,2.5319078
2009,Janeiro,2.5245868
2009,Fevereiro,2.5085319
2009,Março,2.500779
2009,Abril,2.4957879
2009,Maio,2.4821357
2009,Junho,2.4673328
2009,Julho,2.4570127
2009,Agosto,2.4513748
2009,Setembro,2.4494148
2009,Outubro,2.4455026
2009,Novembro,2.4396478
2009,Dezembro,2.4306535
2010,Janeiro,2.4248344
2010,Fevereiro,2.4036817
2010,Março,2.3869731
2010,Abril,2.3701452
2010,Maio,2.3529681
2010,Junho,2.3428947
2010,Julho,2.3454753
2010,Agosto,2.3471174
2010,Setembro,2.3487614
2010,Outubro,2.3361458
2010,Novembro,2.3148498
2010,Dezembro,2.29125
2011,Janeiro,2.2775839
2011,Fevereiro,2.2563739
2011,Março,2.2442551
2011,Abril,2.2295403
2011,Maio,2.2136025
2011,Junho,2.2010566
2011,Julho,2.196224
2011,Agosto,2.196224
2011,Setembro,2.1870388
2011,Outubro,2.1772408
2011,Novembro,2.1702964
2011,Dezembro,2.1579952
2012,Janeiro,2.1470465
2012,Fevereiro,2.1361513
2012,Março,2.1278528
2012,Abril,2.1240287
2012,Maio,2.1105222
2012,Junho,2.0989777
2012,Julho,2.0935343
2012,Agosto,2.0845708
2012,Setembro,2.0752326
2012,Outubro,2.062241
2012,Novembro,2.0477015
2012,Dezembro,2.0367035
2013,Janeiro,2.021742
2013,Fevereiro,2.0033122
2013,Março,1.9929494
2013,Abril,1.9810622
2013,Maio,1.9694419
2013,Junho,1.9625736
2013,Julho,1.9570939
2013,Agosto,1.9596416
2013,Setembro,1.9565107
2013,Outubro,1.9512426
2013,Novembro,1.9394117
2013,Dezembro,1.9289951
2014,Janeiro,1.9152057
2014,Fevereiro,1.9032156
2014,Março,1.8911121
2014,Abril,1.875731
2014,Maio,1.8612142
2014,Junho,1.8501133
2014,Julho,1.8453158
2014,Agosto,1.8429201
2014,Setembro,1.839609
2014,Outubro,1.830638
2014,Novembro,1.8237079
2014,Dezembro,1.8140941
2015,Janeiro,1.8029153
2015,Fevereiro,1.7766218
2015,Março,1.7562487
2015,Abril,1.7301244
2015,Maio,1.717927
2015,Junho,1.7010865
2015,Julho,1.6880875
2015,Agosto,1.6783532
2015,Setembro,1.6741679
2015,Outubro,1.6656732
2015,Novembro,1.6529457
2015,Dezembro,1.6347992
2016,Janeiro,1.6202175
2016,Fevereiro,1.5961154
2016,Março,1.5810954
2016,Abril,1.5741698
2016,Maio,1.5641581
2016,Junho,1.5489781
2016,Julho,1.5417321
2016,Agosto,1.5319282
2016,Setembro,1.5271932
2016,Outubro,1.5259724
2016,Novembro,1.5233833
2016,Dezembro,1.5223171
2017,Janeiro,1.520189
2017,Fevereiro,1.5138313
2017,Março,1.5102063
2017,Abril,1.5053894
2017,Maio,1.5041863
2017,Junho,1.4987907
2017,Julho,1.5033004
2017,Agosto,1.5007494
2017,Setembro,1.5011998
2017,Outubro,1.5014998
2017,Novembro,1.4959646
2017,Dezembro,1.4932767
2018,Janeiro,1.4894044
